CustomerID,Age,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,Kidhome,Teenhome,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Education,Marital_Status,CustomerTenureDays,Cluster
24,31,23767.15,27,447.35,27.12,201.93,37.15,22.34,44.6,5,2,2,2,3,2,2,0,0,1,0,0,0,Graduation,Widow,2389,0
25,46,111576.7,5,920.35,65.42,341.5,52.47,68.88,125.68,6,2,7,10,1,0,2,0,0,0,1,0,0,Graduation,Single,2734,3
26,47,70932.96,28,1174.37,1.26,509.32,87.63,149.44,181.63,4,1,5,2,3,0,2,0,1,0,0,0,0,Basic,Together,604,3
27,38,105704.27,8,1293.82,68.86,367.43,125.66,61.11,20.05,6,1,6,3,0,0,2,1,0,0,0,0,0,2n Cycle,Divorced,647,3
28,58,24792.53,64,237.35,12.61,100.0,11.41,1.74,23.33,3,1,1,4,1,2,2,0,0,0,0,0,0,PhD,Married,3416,2
29,44,9069.89,47,101.22,27.58,123.97,4.01,23.5,35.78,4,0,5,5,4,2,2,0,0,1,0,0,0,PhD,Together,1533,2
30,45,27408.84,86,119.23,14.3,98.23,30.8,12.62,29.29,0,1,2,5,1,2,1,0,0,0,0,0,0,Master,Married,191,0
31,33,72126.11,36,760.66,78.9,266.06,89.92,45.4,67.08,4,3,10,5,3,0,1,1,1,0,0,1,0,PhD,Widow,2678,1
32,32,81077.16,22,806.87,111.96,93.11,45.88,49.88,163.4,12,3,9,12,1,0,1,0,0,0,1,0,0,Basic,Widow,334,1
33,25,27079.26,34,425.5,27.73,7.84,50.59,22.74,44.22,2,2,5,4,1,2,1,0,0,0,0,0,0,Basic,Married,1049,0
34,29,91923.22,19,707.1,37.55,431.12,133.15,17.56,48.77,10,3,7,4,1,1,0,0,0,1,0,0,0,Basic,Married,2132,1
35,26,123955.55,20,877.33,77.81,130.6,18.76,24.97,81.71,7,4,12,6,2,1,0,1,0,0,0,0,0,Master,Single,2605,1
36,42,81833.6,26,778.93,45.53,311.59,176.97,16.12,64.06,5,2,8,6,2,0,0,0,0,0,0,0,0,PhD,Married,982,3
37,18,11367.24,57,385.69,20.87,167.07,56.89,10.59,23.52,4,2,3,5,2,1,1,0,0,0,0,1,0,Basic,Single,3203,0
38,18,17393.13,62,252.75,28.32,20.71,70.71,19.14,26.02,1,3,6,2,0,0,0,0,0,0,0,0,0,Basic,Divorced,3383,2
39,60,24947.71,67,143.38,11.52,116.05,23.17,12.8,15.67,2,1,1,5,3,1,0,0,0,0,1,0,0,Master,Divorced,2266,2
40,49,85573.69,0,231.19,108.72,400.0,91.25,47.13,45.73,4,1,13,4,3,0,0,1,0,1,0,1,0,Master,Together,1452,1
41,38,102851.41,42,841.15,62.6,584.22,33.15,36.23,147.47,7,4,8,3,3,0,2,1,0,0,1,1,0,2n Cycle,Widow,2246,3
42,44,70622.99,61,822.0,82.45,636.06,57.47,99.61,88.65,8,3,10,8,1,0,1,0,0,0,1,0,0,Graduation,Divorced,1746,3
43,27,84976.96,1,841.06,71.8,357.31,156.48,70.22,87.44,6,3,10,8,2,0,1,1,0,1,0,0,0,Graduation,Married,2056,3
44,38,24381.58,65,193.64,0.0,147.68,27.01,1.25,2.21,4,2,3,9,3,1,0,0,0,0,0,0,0,PhD,Single,2105,0
45,32,78351.59,79,592.79,76.88,550.11,136.38,59.02,73.58,11,1,14,9,1,0,2,0,0,1,1,0,1,Graduation,Divorced,1008,3
46,30,81137.35,86,272.81,36.98,394.89,39.23,57.9,77.31,13,9,10,4,1,1,0,1,0,0,0,0,0,Basic,Widow,3395,1
47,32,27040.88,52,194.69,15.22,73.68,56.4,4.86,14.08,4,0,2,4,0,1,2,1,0,0,0,0,0,Master,Together,1276,0
48,33,13125.7,37,229.95,17.44,176.37,97.52,41.69,41.4,3,0,4,2,2,1,2,0,1,1,0,1,0,Graduation,Married,841,0
49,25,73138.36,37,825.64,81.77,230.92,108.83,81.85,90.6,14,4,11,6,1,0,1,0,1,0,0,1,0,PhD,Married,3509,1
50,41,22520.19,69,203.76,9.8,93.77,16.27,14.09,28.5,3,0,0,3,1,1,0,0,0,0,0,0,0,PhD,Divorced,2198,2
51,29,23808.06,61,232.22,42.42,147.93,23.68,20.18,4.1,7,2,10,3,4,0,2,0,0,0,0,1,0,PhD,Single,1610,0
52,46,36317.09,69,220.43,14.64,76.21,8.3,0.0,8.24,0,2,3,7,2,1,2,1,0,0,0,0,0,Master,Divorced,3518,2
53,39,90039.59,92,608.41,52.53,190.46,3.38,55.92,96.06,12,1,7,6,4,0,0,1,0,1,1,1,0,PhD,Widow,781,1
54,18,29707.56,14,397.69,30.83,47.99,42.41,21.49,37.32,2,2,3,2,4,1,1,0,0,0,0,1,0,PhD,Married,3093,0
55,30,88122.8,2,1093.65,56.72,578.1,90.73,89.16,133.65,6,5,8,8,1,0,2,0,1,0,0,0,0,PhD,Together,1018,3
56,37,89362.21,65,870.76,68.83,666.03,27.47,19.16,110.32,7,2,6,5,2,0,1,0,0,0,1,0,0,Master,Widow,1156,1
57,26,28404.7,28,260.61,30.27,243.38,52.99,20.45,28.18,5,2,4,5,2,1,1,0,0,0,0,0,0,Graduation,Widow,3440,2
58,38,76876.83,20,1134.5,85.43,31.3,111.43,41.68,103.28,10,1,3,6,0,0,0,0,0,0,0,0,0,2n Cycle,Divorced,3438,3
59,27,60376.95,88,1064.52,97.17,708.6,51.89,53.61,144.11,11,1,8,4,1,0,2,1,1,0,0,0,0,2n Cycle,Widow,135,1
60,67,31584.2,65,189.39,13.96,32.5,27.2,13.91,23.3,1,1,1,5,1,1,0,0,0,0,0,0,0,Master,Widow,108,2
61,39,101405.91,49,769.07,72.58,535.81,4.64,66.91,117.83,9,4,12,8,1,0,2,1,0,0,0,0,0,Graduation,Married,2250,3
62,50,87749.18,83,607.98,50.53,447.15,63.76,71.01,107.12,2,3,13,7,1,0,2,0,1,0,0,0,0,PhD,Single,3556,3
63,22,28290.23,80,309.48,18.82,104.96,19.77,45.37,52.18,2,3,6,4,1,1,0,1,0,0,0,1,0,Basic,Divorced,2758,0
64,72,73625.47,37,783.78,53.48,449.83,62.1,32.9,101.46,5,1,10,9,3,0,2,1,1,1,0,0,0,Basic,Single,782,1
65,28,21279.55,99,74.36,31.41,150.02,59.19,29.66,31.68,2,2,5,7,0,0,1,1,0,0,0,1,0,2n Cycle,Widow,2858,0
66,25,25714.89,59,319.65,36.98,134.75,0.0,17.39,28.64,4,3,3,6,1,0,1,0,0,0,0,0,0,Basic,Married,1413,0
67,23,25642.51,74,277.01,29.84,149.92,51.34,32.09,49.98,3,0,4,3,2,0,2,0,1,1,0,0,0,PhD,Married,193,0
68,44,40224.1,47,204.5,15.99,144.88,18.15,12.4,12.44,1,1,5,9,1,2,0,0,0,0,0,0,0,Master,Together,1246,0
69,44,89163.95,5,843.64,56.44,197.69,0.0,31.02,151.79,5,0,7,9,1,0,2,1,0,1,0,0,0,Master,Married,319,1
70,29,40435.59,50,275.25,23.1,192.62,45.21,22.63,52.44,4,1,3,6,2,1,2,1,0,0,0,0,0,Basic,Divorced,1621,2
71,43,84536.1,39,1014.38,90.78,223.07,125.83,125.57,124.39,7,2,8,5,2,0,0,0,0,0,0,0,0,Basic,Single,2033,3
72,33,89082.3,41,784.44,59.34,152.3,141.25,68.19,96.57,9,2,14,6,3,1,0,0,0,0,0,0,0,Graduation,Together,1809,3
73,18,12428.33,1,361.05,30.97,126.24,24.49,17.76,50.29,3,1,6,0,1,0,2,0,0,1,1,0,0,Master,Divorced,3131,0
74,24,23288.58,44,278.32,31.61,13.4,49.72,26.18,34.42,3,3,4,6,3,1,2,0,1,0,0,0,0,Basic,Single,710,0
75,40,79244.48,63,922.73,90.68,213.55,161.84,20.63,119.81,5,4,8,3,2,0,0,1,0,0,0,0,0,PhD,Married,1681,3
76,42,95535.9,40,702.12,40.78,344.02,94.31,66.63,114.55,8,10,10,9,1,1,2,0,0,0,1,1,0,PhD,Married,3519,3
77,25,43666.79,22,360.46,39.39,148.77,42.64,24.19,36.21,3,1,3,4,1,2,2,1,1,0,0,0,0,Basic,Divorced,559,0
78,43,80527.61,61,245.25,53.34,485.54,117.27,45.42,158.48,8,3,6,5,3,0,0,0,1,0,0,0,0,Basic,Together,3633,3
79,24,26504.62,76,471.28,14.05,89.6,44.89,31.82,48.53,4,0,1,8,1,0,2,0,0,1,1,0,0,2n Cycle,Together,3057,2
80,34,116602.01,65,840.09,54.28,143.37,48.26,47.77,41.91,9,3,9,5,1,1,0,1,0,0,0,0,0,2n Cycle,Single,2091,1
81,26,28726.97,99,333.4,18.97,185.38,11.27,20.92,18.27,7,4,4,2,2,0,2,0,0,0,0,0,0,Basic,Together,1433,0
82,41,96183.44,99,880.1,54.81,245.93,124.88,87.0,93.52,6,4,5,4,0,0,2,1,1,1,1,0,0,Graduation,Together,2901,3
83,38,85436.55,75,461.8,56.91,520.23,22.97,36.56,126.56,7,2,12,7,3,0,2,0,0,1,1,1,0,2n Cycle,Together,2304,3
84,50,84276.8,76,1113.92,94.56,454.33,61.14,58.27,138.12,2,2,3,4,4,0,0,0,0,1,0,0,1,Graduation,Divorced,3508,3
85,32,60482.89,55,999.87,46.93,262.14,142.45,61.7,138.71,6,2,14,3,3,0,1,1,1,0,1,0,0,Master,Single,3590,1
86,18,9908.07,34,244.46,7.39,164.61,32.08,14.05,50.98,1,0,1,4,2,0,1,0,0,0,1,1,0,Graduation,Divorced,3368,2
87,35,50090.06,15,56.99,9.32,130.12,11.94,16.73,7.83,2,2,2,4,1,2,0,0,0,0,0,0,0,Basic,Married,1429,0
88,18,20594.31,48,279.26,20.93,202.47,68.27,22.28,42.48,3,2,4,1,3,0,2,1,0,1,0,0,0,Graduation,Divorced,1132,2
89,54,29631.77,81,90.74,9.48,78.15,35.48,9.44,43.75,4,1,3,4,3,2,2,0,0,1,0,1,0,Graduation,Single,2431,2
90,37,89224.74,59,641.71,81.17,335.08,91.3,54.89,44.65,3,6,10,7,1,1,1,1,0,1,0,0,0,Master,Single,211,1
91,38,94136.36,76,791.8,59.4,191.05,160.4,78.61,29.98,5,2,16,9,0,0,2,0,1,0,1,0,0,PhD,Married,2442,3
92,48,82813.22,74,350.19,55.32,55.21,112.14,0.0,41.35,6,4,14,6,1,0,2,0,0,0,0,0,0,Basic,Married,3392,1
93,18,33610.22,30,331.61,26.52,99.22,23.03,25.45,30.82,3,2,4,7,3,0,0,0,1,0,0,0,0,Master,Single,2959,0
94,38,81633.99,12,771.38,84.11,403.39,65.09,58.11,79.44,12,0,6,10,2,0,2,0,0,1,1,0,0,2n Cycle,Together,1865,3
95,39,16151.97,80,188.27,18.8,0.0,36.74,9.71,12.89,1,0,3,4,5,1,2,0,0,0,0,0,0,Graduation,Together,3102,2
96,30,84100.04,53,883.95,94.85,254.04,145.9,37.67,96.97,4,4,9,5,1,0,0,0,1,0,0,1,0,2n Cycle,Divorced,193,3
97,63,20838.95,2,309.55,11.61,89.42,31.25,13.97,31.76,3,2,2,3,5,2,2,0,0,0,0,1,0,Graduation,Married,3436,2
98,37,92955.18,14,664.35,51.8,575.35,65.61,70.9,92.8,5,2,7,6,2,0,1,1,0,1,0,0,0,Master,Together,3577,1
99,32,97762.12,37,881.72,35.7,478.4,110.45,54.55,105.87,6,2,8,3,4,0,1,0,0,0,1,0,0,PhD,Widow,537,3
100,27,19282.1,13,100.7,18.04,74.63,14.05,19.2,11.65,0,1,3,4,2,1,2,0,0,0,0,0,0,2n Cycle,Together,1759,2
101,28,21238.65,59,384.66,25.81,288.04,28.65,38.13,10.19,1,4,6,4,2,2,2,0,1,0,0,0,0,Graduation,Together,2434,2
102,33,61982.28,22,418.92,33.77,88.75,89.93,49.51,5.21,7,2,15,3,3,0,1,0,1,0,1,1,0,2n Cycle,Single,794,1
103,52,33057.84,9,99.01,26.25,95.1,29.92,1.8,35.22,4,0,1,7,4,2,0,1,0,0,0,0,0,PhD,Together,470,2
104,34,69769.73,35,803.15,55.22,259.07,79.97,57.19,93.07,8,3,8,8,1,1,2,0,0,1,0,0,0,PhD,Together,2493,3
105,19,28267.81,0,215.68,37.16,115.32,0.0,19.69,36.4,1,0,3,6,3,1,0,0,0,0,0,0,0,PhD,Together,263,2
106,20,20973.61,95,130.16,29.92,161.91,52.22,32.45,0.0,5,2,4,3,2,0,1,1,0,0,0,0,0,PhD,Single,1824,0
107,24,26268.41,60,190.42,28.84,355.48,44.11,29.65,36.82,6,2,3,4,2,1,0,0,1,0,0,0,1,Graduation,Divorced,3168,2
108,43,38799.8,53,194.31,2.77,50.14,43.15,19.48,13.33,1,0,3,6,0,1,2,0,0,0,0,0,0,Master,Divorced,2370,2
109,40,102151.57,56,880.58,96.66,276.77,108.46,0.0,121.1,5,2,7,4,1,0,1,0,0,0,1,0,0,PhD,Single,3008,3
110,35,29913.39,15,178.56,12.96,0.0,27.0,9.9,18.64,2,0,4,2,1,2,2,0,0,0,0,0,0,Basic,Divorced,3309,2
111,19,26624.93,60,307.16,27.89,150.39,42.36,21.13,8.91,5,1,4,4,1,1,2,0,0,0,0,0,0,Graduation,Single,2111,2
112,31,5000.0,75,33.48,17.18,113.05,13.65,12.15,28.96,2,2,5,5,0,2,2,0,0,0,0,0,0,Graduation,Widow,3134,2
113,34,25523.49,43,70.96,20.9,25.95,24.4,15.07,1.55,2,0,4,5,1,1,2,0,0,0,0,0,0,PhD,Divorced,2603,2
114,64,28825.04,67,253.0,17.86,55.04,21.24,24.75,19.69,0,2,2,8,1,2,2,0,0,0,0,0,0,2n Cycle,Married,915,2
115,49,78094.03,8,706.85,59.63,197.53,103.77,57.44,106.89,9,0,8,5,3,0,2,0,0,0,0,0,1,PhD,Single,3607,3
116,45,79134.73,13,428.49,47.63,381.24,126.09,53.47,70.3,11,5,11,1,2,0,2,0,0,1,1,0,0,PhD,Single,1238,1
117,40,106028.28,99,1092.63,116.48,729.99,162.92,86.56,7.08,5,2,13,7,1,0,0,0,1,0,0,1,0,2n Cycle,Single,2727,3
118,63,19354.77,8,257.05,16.51,198.16,8.29,12.01,17.63,3,1,4,2,1,1,2,0,0,0,0,1,0,Graduation,Married,457,2
119,29,10011.16,43,519.71,24.72,72.25,63.2,29.68,50.51,3,3,3,8,1,0,2,1,0,0,0,0,0,PhD,Single,3019,0
120,30,101230.88,14,220.36,25.69,84.58,80.0,56.66,84.08,12,1,15,4,0,1,0,1,0,1,1,0,0,2n Cycle,Married,3262,1
121,44,34260.03,94,170.8,15.01,187.59,9.53,8.83,13.17,2,0,6,3,0,1,1,0,0,0,0,1,0,Master,Widow,448,0
122,38,68645.05,60,61.06,72.41,212.18,131.28,25.61,109.2,11,2,10,5,4,1,0,1,0,1,0,0,0,2n Cycle,Widow,3347,1
123,18,20667.05,8,504.78,21.33,99.27,49.13,39.31,56.97,6,1,6,6,2,0,2,0,0,0,0,0,0,PhD,Married,2973,0
124,28,63011.03,2,811.47,69.73,216.71,25.03,33.04,99.29,13,5,12,2,2,1,0,1,0,0,1,0,0,2n Cycle,Divorced,1394,1
125,43,75021.42,39,420.05,84.1,561.45,99.81,34.17,130.28,8,6,12,5,2,0,2,0,0,0,0,0,0,Basic,Married,1840,1
126,21,27522.26,28,415.18,42.04,17.2,51.08,31.09,55.97,1,2,6,5,2,0,1,1,0,0,0,0,0,Master,Single,2492,0
127,36,32572.31,45,382.97,20.85,93.21,1.49,27.42,55.66,4,1,5,5,1,2,2,1,0,0,0,0,0,Graduation,Widow,1982,2
128,41,86953.13,71,626.97,87.97,385.3,57.74,57.03,50.49,8,3,7,3,3,1,0,0,0,1,0,0,0,Graduation,Single,812,3
129,36,19245.72,13,341.15,10.33,116.03,36.16,5.84,15.33,2,1,3,4,4,1,0,1,0,0,0,0,0,2n Cycle,Together,1040,0
130,45,32395.0,75,242.88,24.35,115.03,29.7,19.46,22.43,2,1,3,7,1,2,2,0,0,0,0,0,0,Basic,Widow,3251,2
131,23,34254.1,82,322.35,30.62,76.47,23.04,11.5,20.98,4,1,4,5,2,0,1,1,0,0,1,0,0,Basic,Divorced,679,0
132,55,22192.63,52,189.53,25.06,82.52,28.79,4.8,17.69,2,4,6,6,2,1,2,0,0,0,0,0,0,2n Cycle,Together,254,2
133,31,94714.99,30,657.75,0.0,521.15,120.95,26.92,72.8,9,1,8,7,3,0,1,0,0,1,0,1,0,Master,Married,1278,1
134,37,23194.39,48,138.52,8.7,68.49,32.05,7.0,21.64,2,0,6,5,2,2,2,0,0,0,0,0,0,Master,Single,2565,0
135,22,22585.71,18,104.47,24.75,105.65,39.37,25.67,56.29,2,1,6,9,4,2,1,0,0,0,0,0,0,Basic,Widow,2206,0
136,49,89407.93,96,1098.06,68.84,499.81,62.69,50.99,83.44,4,2,8,6,1,0,0,0,0,1,1,0,0,Master,Married,1715,1
137,48,88294.12,36,1095.19,95.74,638.95,203.78,53.0,105.23,4,5,8,6,1,0,1,1,0,1,0,0,0,Graduation,Together,566,3
138,48,85348.36,45,1048.33,33.47,91.84,143.1,106.62,74.86,7,0,5,2,0,0,1,1,0,0,0,0,0,Graduation,Together,2904,3
139,42,93545.24,39,656.57,43.39,619.12,120.55,24.34,42.47,3,0,8,5,4,0,1,0,0,0,0,0,0,Master,Together,387,3
140,41,78181.35,9,365.89,18.29,489.16,83.36,107.31,104.85,5,1,9,6,2,0,1,0,0,1,0,1,0,Master,Divorced,1792,3
141,30,92284.19,7,1131.2,103.22,77.56,51.71,37.17,167.91,3,3,9,2,3,0,1,0,1,0,1,0,0,Basic,Together,1072,1
142,36,85715.94,53,1031.4,83.55,338.22,109.95,120.0,124.7,2,2,9,5,1,0,2,1,0,0,0,0,0,Basic,Widow,1737,3
143,25,23478.46,46,471.9,32.09,234.53,42.01,11.84,31.11,3,0,6,6,2,0,1,0,0,0,0,0,0,2n Cycle,Widow,2859,0
144,34,80305.63,60,713.66,30.71,431.01,64.32,61.32,72.25,2,2,11,3,1,0,1,1,0,1,1,0,0,2n Cycle,Together,233,3
145,27,19288.2,12,312.15,27.62,149.37,24.66,21.23,14.68,1,3,5,5,1,1,0,0,0,0,0,0,0,PhD,Married,3525,0
146,57,28261.24,84,142.07,22.05,27.31,35.24,5.35,22.21,3,1,3,6,1,2,1,0,1,0,0,1,0,Graduation,Single,539,2
147,40,33546.17,42,177.42,16.93,164.24,38.01,9.21,26.48,0,1,2,8,1,2,0,0,0,0,0,0,0,PhD,Married,1002,2
148,32,106277.49,20,815.61,58.96,507.82,95.06,97.22,110.51,3,4,3,7,1,0,0,0,0,0,0,1,0,Basic,Married,1332,3
149,45,39707.66,52,153.13,5.76,44.74,36.6,12.07,14.65,2,1,6,4,3,2,2,0,0,0,0,0,0,2n Cycle,Divorced,756,2
150,32,86955.54,49,674.25,75.67,319.75,147.34,69.79,102.85,5,3,11,5,0,1,0,1,1,1,0,0,0,2n Cycle,Divorced,1271,3
151,29,31381.76,46,364.26,23.56,255.41,30.56,29.53,43.11,2,2,4,10,3,2,2,1,1,0,0,0,0,Graduation,Together,1828,0
152,32,89443.55,41,1025.85,58.46,261.81,0.0,127.3,93.28,6,4,12,4,1,0,0,1,0,0,0,0,0,PhD,Divorced,3466,3
153,52,17693.79,69,173.44,4.47,98.33,42.09,10.27,27.76,1,1,3,6,0,2,1,0,0,0,0,0,0,Basic,Divorced,2716,2
154,42,88151.26,2,432.01,75.9,347.45,55.93,58.18,76.1,5,1,9,4,1,1,1,0,0,1,0,1,0,Basic,Together,2458,3
155,40,33600.38,93,116.85,7.78,151.1,42.06,12.56,17.23,1,0,2,4,5,1,2,0,1,0,0,0,0,Master,Married,3153,0
156,38,62786.45,95,115.11,55.08,441.81,52.79,99.42,78.13,8,3,8,3,4,1,2,0,1,0,0,1,0,PhD,Single,3497,1
157,25,84540.33,25,847.31,74.69,330.04,107.07,46.66,58.07,9,3,17,3,0,1,0,1,0,1,0,1,0,2n Cycle,Widow,2883,1
158,19,21910.42,60,351.38,31.12,132.27,0.99,16.37,51.98,2,1,5,3,0,2,0,0,0,0,1,0,1,PhD,Together,1350,2
159,38,85387.83,89,624.25,101.82,501.98,55.41,64.95,21.78,2,1,3,2,3,0,2,0,0,0,0,0,0,Graduation,Single,891,3
160,46,34624.18,50,76.66,17.89,147.26,32.71,6.87,27.04,5,0,4,4,1,1,1,0,1,0,0,0,0,2n Cycle,Widow,1196,0
161,30,16361.49,7,272.64,32.38,301.63,54.43,27.14,46.66,3,2,5,4,1,2,0,0,0,0,0,0,0,Master,Married,1177,0
162,47,27278.78,30,229.77,26.13,109.44,15.74,15.21,22.38,1,1,5,10,0,2,0,0,1,0,0,0,0,PhD,Widow,1049,0
163,34,20041.02,28,460.26,17.01,137.99,83.45,10.75,34.03,2,2,7,3,2,1,0,1,0,0,0,0,0,Master,Widow,2292,0
164,35,16563.86,14,285.72,34.33,164.13,25.78,25.76,26.58,4,1,3,8,1,0,0,0,0,0,0,0,0,Graduation,Divorced,3316,2
165,46,36724.2,4,191.6,9.86,33.44,48.93,22.23,23.8,1,0,4,5,1,1,0,0,0,0,0,0,0,Basic,Married,3619,2
166,33,44538.83,3,143.45,30.17,52.84,47.76,16.37,44.09,2,0,3,7,3,1,0,0,0,0,0,0,0,Basic,Divorced,1274,2
167,22,91436.75,17,510.73,42.72,584.32,102.32,23.58,119.35,8,10,11,11,4,1,1,1,1,1,1,0,0,Master,Married,108,1
168,22,33800.86,32,253.23,3.73,81.67,33.71,21.46,25.89,1,3,3,2,5,2,1,0,0,0,0,0,0,Basic,Together,2119,0
169,27,84856.41,83,423.79,45.61,143.82,0.0,45.66,86.27,6,6,12,4,3,1,1,1,0,0,0,1,0,PhD,Single,1879,1
170,24,81527.71,56,370.52,68.0,314.3,73.93,46.56,75.42,7,4,19,5,3,1,2,1,0,1,0,0,0,Basic,Married,3522,1
171,28,74365.9,77,1051.97,72.84,304.92,97.46,71.66,33.81,12,9,18,3,3,1,0,0,1,0,0,0,0,Master,Together,917,1
172,33,93548.49,62,709.28,77.61,345.73,169.43,39.61,88.47,6,4,12,5,2,0,0,0,0,1,0,1,0,PhD,Divorced,2208,3
173,26,94232.16,59,1217.09,60.95,141.45,64.09,52.35,139.22,7,2,12,3,3,0,1,0,0,0,1,0,0,Basic,Widow,754,1
174,42,15080.6,90,44.92,8.39,28.43,31.22,1.57,29.57,0,0,1,6,0,2,1,0,0,1,0,1,1,2n Cycle,Single,1767,2
175,28,54917.97,79,711.39,90.56,529.89,0.0,67.66,89.25,3,3,19,6,6,0,0,1,1,0,0,1,0,PhD,Single,918,1
176,23,100878.89,4,648.46,75.14,92.18,73.08,42.3,48.41,9,1,12,4,2,1,1,0,1,0,0,0,0,Master,Together,2732,1
177,27,61846.05,58,746.21,88.35,242.23,89.42,2.12,91.85,5,2,12,6,2,0,2,1,0,1,0,0,0,2n Cycle,Divorced,2061,3
178,30,64861.76,61,487.45,63.86,166.71,181.1,21.66,74.31,7,0,7,5,2,0,2,0,1,1,0,1,0,Basic,Married,1450,1
179,25,10232.96,98,238.2,6.65,119.05,8.59,14.4,23.95,2,1,6,5,1,1,0,0,0,1,0,0,1,Graduation,Married,3434,2
180,21,25352.31,84,262.98,26.1,244.74,56.1,12.92,46.39,4,2,4,3,5,2,2,0,0,0,0,0,0,Basic,Single,1254,0
181,26,87714.63,8,719.95,72.02,557.37,59.62,7.42,64.18,0,2,8,7,1,0,0,0,0,0,0,0,0,Master,Together,1361,1
182,25,36284.0,71,432.94,12.97,111.42,51.51,26.48,69.83,2,1,3,4,0,1,0,0,1,0,0,0,0,2n Cycle,Married,2718,0
183,38,63660.74,44,431.25,78.44,285.68,61.81,83.87,61.87,9,3,9,4,4,1,0,0,0,0,0,0,0,Graduation,Together,2342,3
